"";"id1";"id2";"tradeno";"bid1";"bid2";"payoff1";"payoff2"
"173";4;7;173;"defect";"defect";2;2
"174";2;5;174;"cooperate";"cooperate";4;4
"175";1;3;175;"cooperate";"cooperate";4;4
"176";8;6;176;"defect";"defect";2;2
"177";3;6;177;"defect";"defect";2;2
"178";2;8;178;"cooperate";"cooperate";4;4
"179";4;1;179;"cooperate";"cooperate";4;4
"180";7;5;180;"defect";"defect";2;2
"181";4;8;181;"defect";"defect";2;2
"182";7;5;182;"defect";"defect";2;2
"183";1;6;183;"cooperate";"defect";0;5
"184";3;2;184;"cooperate";"cooperate";4;4
"185";7;2;185;"defect";"defect";2;2
"186";3;6;186;"defect";"defect";2;2
"187";5;8;187;"cooperate";"cooperate";4;4
"188";4;1;188;"defect";"cooperate";5;0
"189";2;6;189;"defect";"defect";2;2
"190";5;1;190;"cooperate";"cooperate";4;4
"191";4;7;191;"defect";"defect";2;2
"192";3;8;192;"cooperate";"cooperate";4;4
"193";5;2;193;"cooperate";"cooperate";4;4
"194";3;4;194;"defect";"defect";2;2
"195";7;8;195;"defect";"defect";2;2
"196";1;6;196;"cooperate";"defect";0;5
"197";2;7;197;"defect";"defect";2;2
"198";6;5;198;"defect";"defect";2;2
"199";3;8;199;"cooperate";"cooperate";4;4
"200";4;1;200;"defect";"cooperate";5;0
"201";8;7;201;"defect";"defect";2;2
"202";3;4;202;"defect";"defect";2;2
"203";5;6;203;"defect";"defect";2;2
"204";1;2;204;"cooperate";"cooperate";4;4
"205";3;5;205;"cooperate";"cooperate";4;4
"206";7;8;206;"defect";"defect";2;2
"207";6;2;207;"defect";"defect";2;2
"208";1;4;208;"cooperate";"defect";0;5
"209";4;1;209;"cooperate";"cooperate";4;4
"210";6;5;210;"defect";"defect";2;2
"211";8;3;211;"cooperate";"cooperate";4;4
"212";7;2;212;"defect";"defect";2;2
"213";5;1;213;"cooperate";"cooperate";4;4
"214";8;4;214;"defect";"defect";2;2
"215";7;2;215;"defect";"defect";2;2
"216";3;6;216;"defect";"defect";2;2
"217";3;4;217;"defect";"defect";2;2
"218";7;2;218;"defect";"defect";2;2
"219";5;6;219;"defect";"defect";2;2
"220";8;1;220;"cooperate";"cooperate";4;4
"221";1;7;221;"cooperate";"defect";0;5
"222";3;2;222;"cooperate";"cooperate";4;4
"223";8;4;223;"defect";"defect";2;2
"224";5;6;224;"defect";"defect";2;2
"225";8;5;225;"cooperate";"cooperate";4;4
"226";1;6;226;"cooperate";"defect";0;5
"227";2;7;227;"defect";"defect";2;2
"228";3;4;228;"defect";"defect";2;2
"229";8;6;229;"defect";"defect";2;2
"230";1;3;230;"cooperate";"cooperate";4;4
"231";5;2;231;"cooperate";"cooperate";4;4
"232";4;7;232;"defect";"defect";2;2
"233";4;1;233;"defect";"cooperate";5;0
"234";2;5;234;"cooperate";"cooperate";4;4
"235";6;8;235;"defect";"defect";2;2
"236";3;7;236;"defect";"defect";2;2
"237";2;6;237;"defect";"defect";2;2
"238";7;3;238;"defect";"defect";2;2
"239";5;1;239;"cooperate";"cooperate";4;4
"240";4;8;240;"defect";"defect";2;2
"241";2;1;241;"cooperate";"cooperate";4;4
"242";6;8;242;"defect";"defect";2;2
"243";7;5;243;"defect";"defect";2;2
"244";4;3;244;"defect";"defect";2;2
"245";5;6;245;"defect";"defect";2;2
"246";1;3;246;"cooperate";"cooperate";4;4
"247";8;2;247;"cooperate";"cooperate";4;4
"248";4;7;248;"defect";"defect";2;2
"249";8;3;249;"cooperate";"cooperate";4;4
"250";6;4;250;"defect";"defect";2;2
"251";7;5;251;"defect";"defect";2;2
"252";1;2;252;"cooperate";"cooperate";4;4
"253";6;8;253;"defect";"defect";2;2
"254";2;4;254;"defect";"defect";2;2
"255";3;7;255;"defect";"defect";2;2
"256";5;1;256;"cooperate";"cooperate";4;4
"257";6;3;257;"defect";"defect";2;2
"258";1;2;258;"cooperate";"cooperate";4;4
"259";4;7;259;"defect";"defect";2;2
"260";5;8;260;"cooperate";"cooperate";4;4
"261";8;5;261;"cooperate";"cooperate";4;4
"262";1;2;262;"cooperate";"cooperate";4;4
"263";7;6;263;"defect";"defect";2;2
"264";3;4;264;"defect";"defect";2;2
"265";3;2;265;"cooperate";"cooperate";4;4
"266";4;7;266;"defect";"defect";2;2
"267";6;5;267;"defect";"defect";2;2
"268";1;8;268;"cooperate";"cooperate";4;4
"269";1;7;269;"cooperate";"defect";0;5
"270";3;6;270;"defect";"defect";2;2
"271";5;4;271;"defect";"defect";2;2
"272";2;8;272;"cooperate";"cooperate";4;4
"273";8;6;273;"defect";"defect";2;2
"274";3;1;274;"cooperate";"cooperate";4;4
"275";5;7;275;"defect";"defect";2;2
"276";2;4;276;"defect";"defect";2;2
"277";2;3;277;"cooperate";"cooperate";4;4
"278";5;6;278;"defect";"defect";2;2
"279";7;1;279;"defect";"cooperate";5;0
"280";8;4;280;"defect";"defect";2;2
"281";8;2;281;"cooperate";"cooperate";4;4
"282";3;7;282;"defect";"defect";2;2
"283";1;6;283;"cooperate";"defect";0;5
"284";5;4;284;"defect";"defect";2;2
"285";4;6;285;"defect";"defect";2;2
"286";5;2;286;"cooperate";"cooperate";4;4
"287";8;7;287;"defect";"defect";2;2
"288";1;3;288;"cooperate";"cooperate";4;4
"289";4;1;289;"defect";"cooperate";5;0
"290";8;5;290;"cooperate";"cooperate";4;4
"291";3;2;291;"cooperate";"cooperate";4;4
"292";7;6;292;"defect";"defect";2;2
"293";6;8;293;"defect";"defect";2;2
"294";4;3;294;"defect";"defect";2;2
"295";2;7;295;"defect";"defect";2;2
"296";1;5;296;"cooperate";"cooperate";4;4
"297";8;2;297;"cooperate";"cooperate";4;4
"298";5;6;298;"defect";"defect";2;2
"299";4;7;299;"defect";"defect";2;2
"300";1;3;300;"cooperate";"cooperate";4;4
"301";1;7;301;"cooperate";"defect";0;5
"302";3;6;302;"defect";"defect";2;2
"303";5;4;303;"defect";"defect";2;2
"304";8;2;304;"cooperate";"cooperate";4;4
"305";3;5;305;"cooperate";"cooperate";4;4
"306";1;7;306;"cooperate";"defect";0;5
"307";6;2;307;"defect";"defect";2;2
"308";4;8;308;"defect";"defect";2;2
"309";5;2;309;"cooperate";"cooperate";4;4
"310";4;3;310;"defect";"defect";2;2
"311";6;8;311;"defect";"defect";2;2
"312";1;7;312;"cooperate";"defect";0;5
"313";7;4;313;"defect";"defect";2;2
"314";2;1;314;"cooperate";"cooperate";4;4
"315";5;3;315;"cooperate";"cooperate";4;4
"316";6;8;316;"defect";"defect";2;2
"317";3;7;317;"defect";"defect";2;2
"318";2;4;318;"defect";"defect";2;2
"319";1;5;319;"cooperate";"cooperate";4;4
"320";6;8;320;"defect";"defect";2;2
"321";8;5;321;"cooperate";"cooperate";4;4
"322";6;2;322;"defect";"defect";2;2
"323";7;4;323;"defect";"defect";2;2
"324";1;3;324;"cooperate";"cooperate";4;4
"325";5;6;325;"defect";"defect";2;2
"326";7;2;326;"defect";"defect";2;2
"327";4;1;327;"defect";"cooperate";5;0
"328";8;3;328;"cooperate";"cooperate";4;4
"329";5;7;329;"defect";"defect";2;2
"330";2;6;330;"defect";"defect";2;2
"331";3;4;331;"defect";"defect";2;2
"332";8;1;332;"cooperate";"cooperate";4;4
"333";5;4;333;"defect";"defect";2;2
"334";3;2;334;"cooperate";"cooperate";4;4
"335";1;7;335;"cooperate";"defect";0;5
"336";6;8;336;"defect";"defect";2;2
"337";7;2;337;"defect";"defect";2;2
"338";4;3;338;"defect";"defect";2;2
"339";5;8;339;"cooperate";"cooperate";4;4
"340";1;6;340;"cooperate";"defect";0;5
"341";8;1;341;"cooperate";"cooperate";4;4
"342";4;5;342;"defect";"defect";2;2
"343";3;2;343;"cooperate";"cooperate";4;4
"344";6;7;344;"defect";"defect";2;2
"345";2;7;345;"defect";"defect";2;2
"346";3;5;346;"cooperate";"cooperate";4;4
"347";4;6;347;"defect";"defect";2;2
"348";8;1;348;"cooperate";"cooperate";4;4
"349";1;3;349;"cooperate";"cooperate";4;4
"350";4;5;350;"defect";"defect";2;2
"351";7;6;351;"defect";"defect";2;2
"352";8;2;352;"cooperate";"cooperate";4;4
"353";7;4;353;"defect";"defect";2;2
"354";3;1;354;"cooperate";"cooperate";4;4
"355";5;2;355;"cooperate";"cooperate";4;4
"356";6;8;356;"defect";"defect";2;2
"357";5;7;357;"defect";"defect";2;2
"358";8;2;358;"cooperate";"cooperate";4;4
"359";4;6;359;"defect";"defect";2;2
"360";3;1;360;"cooperate";"cooperate";4;4
"361";1;6;361;"cooperate";"defect";0;5
"362";4;7;362;"defect";"defect";2;2
"363";8;3;363;"cooperate";"cooperate";4;4
"364";5;2;364;"cooperate";"cooperate";4;4
"365";7;1;365;"defect";"cooperate";5;0
"366";8;2;366;"cooperate";"cooperate";4;4
"367";3;5;367;"cooperate";"cooperate";4;4
"368";6;4;368;"defect";"defect";2;2
"369";4;8;369;"defect";"defect";2;2
"370";6;1;370;"defect";"cooperate";5;0
"371";3;2;371;"cooperate";"cooperate";4;4
"372";7;5;372;"defect";"defect";2;2
"373";2;4;373;"defect";"defect";2;2
"374";8;3;374;"cooperate";"cooperate";4;4
"375";1;5;375;"cooperate";"cooperate";4;4
"376";7;6;376;"defect";"defect";2;2
"377";2;7;377;"defect";"defect";2;2
"378";8;1;378;"cooperate";"cooperate";4;4
"379";5;6;379;"defect";"defect";2;2
"380";3;4;380;"defect";"defect";2;2
"381";6;4;381;"defect";"defect";2;2
"382";5;1;382;"cooperate";"cooperate";4;4
"383";7;2;383;"defect";"defect";2;2
"384";8;3;384;"cooperate";"cooperate";4;4
"385";7;2;385;"defect";"defect";2;2
"386";6;5;386;"defect";"defect";2;2
"387";3;4;387;"defect";"defect";2;2
"388";1;8;388;"cooperate";"cooperate";4;4
"389";2;5;389;"cooperate";"cooperate";4;4
"390";8;3;390;"cooperate";"cooperate";4;4
"391";1;4;391;"cooperate";"cooperate";4;4
"392";7;6;392;"defect";"defect";2;2
"393";3;4;393;"defect";"defect";2;2
"394";7;2;394;"defect";"defect";2;2
"395";8;6;395;"defect";"defect";2;2
"396";1;5;396;"cooperate";"cooperate";4;4
"397";1;7;397;"cooperate";"defect";0;5
"398";5;2;398;"cooperate";"cooperate";4;4
"399";3;6;399;"defect";"defect";2;2
"400";4;8;400;"defect";"defect";2;2
"401";1;3;401;"cooperate";"cooperate";4;4
"402";7;2;402;"defect";"defect";2;2
"403";4;5;403;"defect";"defect";2;2
"404";6;8;404;"defect";"defect";2;2
"405";8;2;405;"cooperate";"cooperate";4;4
"406";5;7;406;"defect";"defect";2;2
"407";3;4;407;"defect";"defect";2;2
"408";6;1;408;"defect";"cooperate";5;0
"409";1;2;409;"cooperate";"cooperate";4;4
"410";3;7;410;"defect";"defect";2;2
"411";6;4;411;"defect";"defect";2;2
"412";5;8;412;"cooperate";"cooperate";4;4
"413";7;3;413;"defect";"defect";2;2
"414";4;1;414;"defect";"cooperate";5;0
"415";6;8;415;"defect";"defect";2;2
"416";2;5;416;"cooperate";"cooperate";4;4
"417";2;8;417;"cooperate";"cooperate";4;4
"418";3;6;418;"defect";"defect";2;2
"419";7;1;419;"defect";"cooperate";5;0
"420";4;5;420;"defect";"defect";2;2
"421";3;7;421;"defect";"defect";2;2
"422";5;1;422;"cooperate";"cooperate";4;4
"423";4;6;423;"defect";"defect";2;2
"424";8;2;424;"cooperate";"cooperate";4;4
"425";6;2;425;"defect";"defect";2;2
"426";7;1;426;"defect";"cooperate";5;0
"427";8;3;427;"cooperate";"cooperate";4;4
"428";5;4;428;"defect";"defect";2;2
"429";4;8;429;"defect";"defect";2;2
"430";7;6;430;"defect";"defect";2;2
"431";1;2;431;"cooperate";"cooperate";4;4
"432";3;5;432;"cooperate";"cooperate";4;4
"433";2;4;433;"defect";"defect";2;2
"434";1;8;434;"cooperate";"cooperate";4;4
"435";5;3;435;"cooperate";"cooperate";4;4
"436";7;6;436;"defect";"defect";2;2
"437";8;7;437;"defect";"defect";2;2
"438";6;3;438;"defect";"defect";2;2
"439";4;5;439;"defect";"defect";2;2
"440";2;1;440;"cooperate";"cooperate";4;4
"441";3;1;441;"cooperate";"cooperate";4;4
"442";7;6;442;"defect";"defect";2;2
"443";5;2;443;"cooperate";"cooperate";4;4
"444";4;8;444;"defect";"defect";2;2
"445";1;8;445;"cooperate";"cooperate";4;4
"446";7;5;446;"defect";"defect";2;2
"447";4;6;447;"defect";"defect";2;2
"448";3;2;448;"cooperate";"cooperate";4;4
"449";1;8;449;"cooperate";"cooperate";4;4
"450";7;6;450;"defect";"defect";2;2
"451";5;2;451;"cooperate";"cooperate";4;4
"452";3;4;452;"defect";"defect";2;2
"453";1;8;453;"cooperate";"cooperate";4;4
"454";3;7;454;"defect";"defect";2;2
"455";6;4;455;"defect";"defect";2;2
"456";2;5;456;"cooperate";"cooperate";4;4
"457";8;7;457;"defect";"defect";2;2
"458";1;5;458;"cooperate";"cooperate";4;4
"459";4;3;459;"defect";"defect";2;2
"460";6;2;460;"defect";"defect";2;2
"461";4;5;461;"defect";"defect";2;2
"462";6;2;462;"defect";"defect";2;2
"463";7;3;463;"defect";"defect";2;2
"464";8;1;464;"cooperate";"cooperate";4;4
"465";4;7;465;"defect";"defect";2;2
"466";2;6;466;"defect";"defect";2;2
"467";8;1;467;"cooperate";"cooperate";4;4
"468";3;5;468;"cooperate";"cooperate";4;4
"469";4;5;469;"defect";"defect";2;2
"470";7;6;470;"defect";"defect";2;2
"471";8;1;471;"cooperate";"cooperate";4;4
"472";3;2;472;"cooperate";"cooperate";4;4
"473";7;5;473;"defect";"defect";2;2
"474";2;8;474;"cooperate";"cooperate";4;4
"475";1;6;475;"cooperate";"defect";0;5
"476";4;3;476;"defect";"defect";2;2
"477";4;1;477;"defect";"cooperate";5;0
"478";8;2;478;"cooperate";"cooperate";4;4
"479";7;5;479;"defect";"defect";2;2
"480";3;6;480;"defect";"defect";2;2
"481";6;7;481;"defect";"defect";2;2
"482";4;3;482;"defect";"defect";2;2
"483";8;1;483;"cooperate";"cooperate";4;4
"484";5;2;484;"cooperate";"cooperate";4;4
"485";5;8;485;"cooperate";"cooperate";4;4
"486";7;1;486;"defect";"cooperate";5;0
"487";6;3;487;"defect";"defect";2;2
"488";4;2;488;"defect";"defect";2;2
"489";4;8;489;"defect";"defect";2;2
"490";2;5;490;"cooperate";"cooperate";4;4
"491";3;1;491;"cooperate";"cooperate";4;4
"492";7;6;492;"defect";"defect";2;2
"493";2;1;493;"cooperate";"cooperate";4;4
"494";5;4;494;"defect";"defect";2;2
"495";8;7;495;"defect";"defect";2;2
"496";3;6;496;"defect";"defect";2;2
"497";6;3;497;"defect";"defect";2;2
"498";8;1;498;"cooperate";"cooperate";4;4
"499";5;2;499;"cooperate";"cooperate";4;4
"500";7;4;500;"defect";"defect";2;2
"501";6;7;501;"defect";"defect";2;2
"502";4;1;502;"defect";"cooperate";5;0
"503";8;2;503;"cooperate";"cooperate";4;4
"504";3;5;504;"cooperate";"cooperate";4;4
"505";3;1;505;"cooperate";"cooperate";4;4
"506";2;7;506;"defect";"defect";2;2
"507";4;5;507;"defect";"defect";2;2
"508";6;8;508;"defect";"defect";2;2
"509";7;4;509;"defect";"defect";2;2
"510";2;6;510;"defect";"defect";2;2
"511";3;5;511;"cooperate";"cooperate";4;4
"512";1;8;512;"cooperate";"cooperate";4;4
"513";8;5;513;"cooperate";"cooperate";4;4
"514";2;6;514;"defect";"defect";2;2
"515";3;4;515;"defect";"defect";2;2
"516";1;7;516;"cooperate";"defect";0;5
"517";2;5;517;"cooperate";"cooperate";4;4
"518";4;1;518;"cooperate";"cooperate";4;4
"519";8;6;519;"defect";"defect";2;2
"520";7;3;520;"defect";"defect";2;2
"521";8;1;521;"cooperate";"cooperate";4;4
"522";4;3;522;"defect";"defect";2;2
"523";6;5;523;"defect";"defect";2;2
"524";7;2;524;"defect";"defect";2;2
"525";4;8;525;"defect";"defect";2;2
"526";1;6;526;"cooperate";"defect";0;5
"527";7;3;527;"defect";"defect";2;2
"528";5;2;528;"cooperate";"cooperate";4;4
"529";8;3;529;"cooperate";"cooperate";4;4
"530";1;5;530;"cooperate";"cooperate";4;4
"531";2;6;531;"defect";"defect";2;2
"532";7;4;532;"defect";"defect";2;2
"533";4;7;533;"defect";"defect";2;2
"534";8;6;534;"defect";"defect";2;2
"535";1;2;535;"cooperate";"cooperate";4;4
"536";5;3;536;"cooperate";"cooperate";4;4
"537";3;5;537;"cooperate";"cooperate";4;4
"538";1;4;538;"cooperate";"defect";0;5
"539";7;2;539;"defect";"defect";2;2
"540";6;8;540;"defect";"defect";2;2
"541";4;8;541;"defect";"defect";2;2
"542";5;2;542;"cooperate";"cooperate";4;4
"543";6;3;543;"defect";"defect";2;2
"544";7;1;544;"defect";"cooperate";5;0
"545";5;8;545;"cooperate";"cooperate";4;4
"546";6;4;546;"defect";"defect";2;2
"547";2;7;547;"defect";"defect";2;2
"548";1;3;548;"cooperate";"cooperate";4;4
"549";6;3;549;"defect";"defect";2;2
"550";7;5;550;"defect";"defect";2;2
"551";2;1;551;"cooperate";"cooperate";4;4
"552";4;8;552;"defect";"defect";2;2
"553";6;8;553;"defect";"defect";2;2
"554";4;2;554;"defect";"defect";2;2
"555";3;1;555;"cooperate";"cooperate";4;4
"556";5;7;556;"defect";"defect";2;2
"557";7;4;557;"defect";"defect";2;2
"558";5;8;558;"cooperate";"cooperate";4;4
"559";6;1;559;"defect";"cooperate";5;0
"560";3;2;560;"cooperate";"cooperate";4;4
"561";3;7;561;"defect";"defect";2;2
"562";1;8;562;"cooperate";"cooperate";4;4
"563";2;4;563;"defect";"defect";2;2
"564";6;5;564;"defect";"defect";2;2
"565";6;8;565;"defect";"defect";2;2
"566";3;1;566;"cooperate";"cooperate";4;4
"567";2;7;567;"defect";"defect";2;2
"568";5;4;568;"defect";"defect";2;2
"569";5;3;569;"cooperate";"cooperate";4;4
"570";2;8;570;"cooperate";"cooperate";4;4
"571";1;7;571;"cooperate";"defect";0;5
"572";4;6;572;"defect";"defect";2;2
"573";7;8;573;"defect";"defect";2;2
"574";2;1;574;"cooperate";"cooperate";4;4
"575";5;4;575;"defect";"defect";2;2
"576";3;6;576;"defect";"defect";2;2
"577";3;4;577;"defect";"defect";2;2
"578";2;5;578;"cooperate";"cooperate";4;4
"579";6;8;579;"defect";"defect";2;2
"580";1;7;580;"cooperate";"defect";0;5
"581";2;6;581;"defect";"defect";2;2
"582";5;3;582;"cooperate";"cooperate";4;4
"583";8;7;583;"defect";"defect";2;2
"584";1;4;584;"cooperate";"defect";0;5
"585";7;2;585;"defect";"defect";2;2
"586";1;8;586;"cooperate";"cooperate";4;4
"587";5;4;587;"defect";"defect";2;2
"588";6;3;588;"defect";"defect";2;2
"589";2;8;589;"cooperate";"cooperate";4;4
"590";4;1;590;"defect";"cooperate";5;0
"591";5;3;591;"cooperate";"cooperate";4;4
"592";7;6;592;"defect";"defect";2;2
"593";6;3;593;"defect";"defect";2;2
"594";8;5;594;"cooperate";"cooperate";4;4
"595";7;1;595;"defect";"cooperate";5;0
"596";4;2;596;"defect";"defect";2;2
"597";6;7;597;"defect";"defect";2;2
"598";5;4;598;"defect";"defect";2;2
"599";8;3;599;"cooperate";"cooperate";4;4
"600";2;1;600;"cooperate";"cooperate";4;4
"601";6;1;601;"defect";"cooperate";5;0
"602";5;7;602;"defect";"defect";2;2
"603";2;4;603;"defect";"defect";2;2
"604";3;8;604;"cooperate";"cooperate";4;4
"605";1;5;605;"cooperate";"cooperate";4;4
"606";8;3;606;"cooperate";"cooperate";4;4
"607";6;2;607;"defect";"defect";2;2
"608";7;4;608;"defect";"defect";2;2
"609";2;1;609;"cooperate";"cooperate";4;4
"610";3;5;610;"cooperate";"cooperate";4;4
"611";6;8;611;"defect";"defect";2;2
"612";7;4;612;"defect";"defect";2;2
"613";1;8;613;"cooperate";"cooperate";4;4
