round,id1,id2,bid1,bid2
104,14,16,cooperate,defect
105,13,12,cooperate,defect
106,22,2,cooperate,cooperate
107,24,1,defect,cooperate
108,20,15,cooperate,defect
109,4,9,defect,cooperate
110,7,10,defect,cooperate
111,8,3,cooperate,defect
112,20,5,cooperate,defect
113,6,11,cooperate,cooperate
114,24,22,cooperate,defect
115,23,1,defect,cooperate
116,17,18,cooperate,cooperate
117,15,12,defect,defect
118,21,13,cooperate,cooperate
119,2,14,cooperate,cooperate
120,16,19,cooperate,cooperate
121,4,21,defect,cooperate
122,15,3,defect,cooperate
123,24,14,defect,cooperate
124,16,2,defect,cooperate
125,22,18,cooperate,cooperate
126,5,23,defect,defect
127,6,12,cooperate,defect
128,17,20,cooperate,cooperate
129,9,13,defect,cooperate
130,19,1,cooperate,cooperate
131,7,8,defect,cooperate
132,10,11,cooperate,defect
133,7,20,cooperate,cooperate
134,19,23,cooperate,defect
135,5,12,defect,defect
136,11,16,defect,defect
137,6,8,cooperate,cooperate
138,21,22,cooperate,cooperate
139,24,3,defect,cooperate
140,9,15,cooperate,defect
141,2,18,cooperate,cooperate
142,14,13,cooperate,cooperate
143,4,1,defect,cooperate
144,10,17,cooperate,cooperate
145,5,15,defect,defect
146,19,8,cooperate,defect
147,18,24,defect,defect
148,2,23,cooperate,defect
149,12,10,defect,defect
150,9,4,defect,defect
151,20,17,cooperate,cooperate
152,7,16,defect,defect
153,22,13,cooperate,cooperate
154,3,6,cooperate,cooperate
155,14,1,cooperate,cooperate
156,21,11,cooperate,cooperate
157,17,2,cooperate,cooperate
158,9,15,defect,defect
159,23,10,defect,defect
160,22,20,cooperate,cooperate
161,14,16,defect,defect
162,24,12,defect,defect
163,4,11,defect,defect
164,19,8,defect,cooperate
165,18,1,cooperate,cooperate
166,13,5,cooperate,defect
167,7,3,cooperate,cooperate
168,21,6,cooperate,cooperate
169,4,9,defect,defect
170,16,23,defect,defect
171,8,17,cooperate,defect
172,11,24,defect,defect
173,6,10,cooperate,cooperate
174,3,14,cooperate,cooperate
175,12,18,defect,defect
176,19,2,cooperate,cooperate
177,20,7,cooperate,defect
178,15,22,defect,defect
179,1,5,cooperate,defect
180,21,13,cooperate,cooperate
181,2,9,cooperate,defect
182,14,12,defect,defect
183,21,10,cooperate,cooperate
184,3,1,cooperate,cooperate
185,13,17,cooperate,cooperate
186,11,6,cooperate,cooperate
187,5,8,defect,cooperate
188,7,15,defect,defect
189,20,19,cooperate,cooperate
190,22,23,defect,defect
191,24,18,defect,defect
192,16,4,defect,defect
193,19,14,cooperate,cooperate
194,24,2,cooperate,cooperate
195,12,23,defect,defect
196,17,3,cooperate,cooperate
197,6,7,cooperate,cooperate
198,13,15,cooperate,defect
199,16,1,defect,cooperate
200,20,11,cooperate,cooperate
201,5,8,defect,defect
202,9,21,defect,cooperate
203,22,18,cooperate,cooperate
204,10,4,defect,defect
205,11,14,cooperate,defect
206,15,22,defect,defect
207,17,13,cooperate,cooperate
208,4,19,defect,defect
209,5,9,defect,cooperate
210,23,18,defect,defect
211,6,24,cooperate,defect
212,12,10,defect,cooperate
213,7,8,cooperate,cooperate
214,16,3,defect,cooperate
215,20,2,cooperate,cooperate
216,21,1,cooperate,cooperate
217,1,17,cooperate,cooperate
218,3,11,cooperate,cooperate
219,24,10,defect,defect
220,14,13,cooperate,cooperate
221,5,12,defect,defect
222,22,18,cooperate,defect
223,15,20,defect,cooperate
224,19,7,cooperate,cooperate
225,2,8,cooperate,defect
226,16,9,defect,cooperate
227,23,6,defect,cooperate
228,4,21,defect,cooperate
229,21,22,cooperate,cooperate
230,2,23,cooperate,defect
231,19,9,cooperate,cooperate
232,20,5,cooperate,defect
233,17,4,defect,defect
234,12,7,defect,defect
235,1,3,cooperate,cooperate
236,10,14,cooperate,cooperate
237,16,18,defect,defect
238,24,11,cooperate,defect
239,15,8,defect,defect
240,13,6,cooperate,cooperate
241,20,14,cooperate,cooperate
242,6,21,cooperate,cooperate
243,3,23,cooperate,defect
244,11,2,cooperate,cooperate
245,17,16,defect,defect
246,4,12,defect,defect
247,5,18,defect,defect
248,19,13,cooperate,cooperate
249,10,15,defect,defect
250,24,1,defect,defect
251,9,7,cooperate,cooperate
252,22,8,cooperate,defect
253,13,8,cooperate,cooperate
254,5,22,defect,defect
255,9,11,defect,defect
256,24,6,defect,defect
257,15,10,defect,defect
258,14,17,cooperate,cooperate
259,19,23,defect,defect
260,4,2,defect,cooperate
261,1,16,defect,defect
262,18,12,defect,defect
263,3,21,cooperate,cooperate
264,7,20,defect,cooperate
265,14,22,cooperate,cooperate
266,5,2,defect,cooperate
267,9,6,cooperate,cooperate
268,17,8,cooperate,defect
269,3,21,cooperate,cooperate
270,24,19,defect,cooperate
271,12,15,defect,defect
272,13,10,cooperate,cooperate
273,20,11,cooperate,defect
274,1,7,cooperate,defect
275,16,4,defect,defect
276,18,23,defect,defect
277,11,7,defect,defect
278,16,10,defect,cooperate
279,20,21,cooperate,cooperate
280,19,4,defect,defect
281,22,17,cooperate,cooperate
282,5,18,defect,defect
283,1,15,cooperate,defect
284,6,2,cooperate,cooperate
285,23,12,defect,defect
286,9,3,cooperate,cooperate
287,14,24,defect,defect
288,13,8,cooperate,defect
289,2,23,cooperate,defect
290,10,9,cooperate,defect
291,14,5,defect,defect
292,19,8,defect,defect
293,17,21,cooperate,cooperate
294,12,1,defect,cooperate
295,18,22,cooperate,defect
296,11,7,defect,defect
297,20,6,cooperate,cooperate
298,4,16,defect,cooperate
299,15,24,defect,defect
300,3,13,cooperate,cooperate
301,18,23,defect,defect
302,24,15,defect,defect
303,3,8,defect,cooperate
304,11,19,defect,cooperate
305,21,13,cooperate,cooperate
306,4,16,defect,cooperate
307,5,6,defect,cooperate
308,1,20,cooperate,cooperate
309,2,12,cooperate,defect
310,22,14,cooperate,cooperate
311,10,7,defect,defect
312,17,9,cooperate,cooperate
313,24,9,defect,cooperate
314,1,16,cooperate,defect
315,10,15,defect,defect
316,21,14,cooperate,cooperate
317,4,22,defect,defect
318,13,8,defect,defect
319,11,19,cooperate,defect
320,18,17,defect,cooperate
321,12,3,defect,cooperate
322,6,2,cooperate,cooperate
323,20,7,cooperate,defect
324,23,5,defect,defect
325,15,2,defect,cooperate
326,6,18,cooperate,cooperate
327,24,3,defect,defect
328,20,23,cooperate,defect
329,19,16,cooperate,defect
330,4,17,defect,defect
331,8,14,defect,cooperate
332,13,11,cooperate,defect
333,7,1,defect,defect
334,21,9,defect,defect
335,10,22,defect,cooperate
336,5,12,defect,defect
337,7,16,defect,cooperate
338,22,14,cooperate,cooperate
339,10,23,defect,defect
340,20,11,cooperate,cooperate
341,17,21,cooperate,cooperate
342,8,1,cooperate,cooperate
343,12,18,defect,defect
344,6,15,cooperate,defect
345,24,9,defect,defect
346,3,4,cooperate,defect
347,19,2,cooperate,cooperate
348,13,5,defect,defect
349,5,8,defect,cooperate
350,18,13,cooperate,cooperate
351,1,15,defect,defect
352,11,24,defect,cooperate
353,16,4,defect,defect
354,6,10,cooperate,cooperate
355,7,17,cooperate,cooperate
356,3,12,defect,defect
357,9,14,cooperate,cooperate
358,22,21,cooperate,cooperate
359,2,20,cooperate,cooperate
360,23,19,defect,defect
361,18,12,defect,defect
362,8,9,cooperate,cooperate
363,16,21,defect,cooperate
364,5,2,defect,cooperate
365,23,10,defect,defect
366,6,13,cooperate,cooperate
367,1,20,cooperate,cooperate
368,24,7,cooperate,defect
369,14,3,cooperate,cooperate
370,15,22,defect,defect
371,4,17,defect,defect
372,19,11,defect,cooperate
373,11,6,defect,cooperate
374,8,7,cooperate,defect
375,1,10,cooperate,cooperate
376,9,17,defect,cooperate
377,5,14,defect,defect
378,24,20,defect,cooperate
379,22,2,cooperate,cooperate
380,15,18,defect,defect
381,3,21,cooperate,cooperate
382,23,12,defect,defect
383,16,19,defect,defect
384,13,4,cooperate,defect
385,15,13,defect,defect
386,21,20,cooperate,cooperate
387,5,6,defect,defect
388,1,9,cooperate,cooperate
389,4,12,defect,defect
390,11,10,defect,defect
391,22,19,defect,cooperate
392,3,14,cooperate,cooperate
393,24,16,defect,defect
394,18,23,defect,defect
395,8,17,cooperate,defect
396,2,7,cooperate,cooperate
397,9,6,defect,cooperate
398,4,7,defect,defect
399,24,8,cooperate,cooperate
400,19,16,defect,defect
401,22,5,defect,defect
402,10,1,cooperate,cooperate
403,23,21,defect,cooperate
404,15,2,defect,cooperate
405,3,11,cooperate,cooperate
406,14,18,cooperate,defect
407,12,13,defect,defect
408,17,20,cooperate,cooperate
409,15,17,defect,cooperate
410,18,7,defect,cooperate
411,13,5,defect,defect
412,4,1,defect,defect
413,21,20,cooperate,cooperate
414,19,22,defect,cooperate
415,2,3,cooperate,cooperate
416,6,14,cooperate,cooperate
417,23,12,defect,defect
418,24,16,defect,defect
419,10,9,defect,defect
420,11,8,defect,defect
421,4,1,defect,defect
422,17,24,defect,defect
423,21,19,cooperate,cooperate
424,13,22,cooperate,cooperate
425,23,2,defect,cooperate
426,16,7,cooperate,cooperate
427,18,12,defect,defect
428,9,10,defect,cooperate
429,15,3,defect,defect
430,5,14,defect,defect
431,20,8,cooperate,defect
432,11,6,defect,defect
433,15,11,defect,cooperate
434,22,8,defect,defect
435,13,7,cooperate,cooperate
436,17,6,cooperate,cooperate
437,4,2,defect,cooperate
438,20,24,cooperate,defect
439,3,5,cooperate,defect
440,14,21,cooperate,cooperate
441,12,19,defect,cooperate
442,18,1,cooperate,cooperate
443,16,23,defect,defect
444,9,10,defect,defect
445,22,19,cooperate,defect
446,8,20,cooperate,cooperate
447,12,5,defect,defect
448,18,17,defect,defect
449,3,21,cooperate,cooperate
450,16,13,defect,cooperate
451,9,2,defect,cooperate
452,24,1,defect,defect
453,14,10,cooperate,cooperate
454,6,11,defect,defect
455,7,15,defect,defect
456,4,23,defect,defect
457,3,13,cooperate,cooperate
458,17,7,cooperate,cooperate
459,9,4,defect,defect
460,11,16,cooperate,defect
461,1,23,cooperate,defect
462,22,2,cooperate,cooperate
463,8,10,defect,cooperate
464,21,5,cooperate,defect
465,20,15,cooperate,defect
466,12,24,defect,defect
467,14,19,cooperate,cooperate
468,6,18,cooperate,cooperate
469,1,5,defect,defect
470,9,21,defect,defect
471,11,6,cooperate,defect
472,17,18,defect,defect
473,16,23,defect,defect
474,4,2,defect,cooperate
475,22,3,defect,cooperate
476,7,8,defect,cooperate
477,13,19,cooperate,cooperate
478,15,20,defect,cooperate
479,12,24,defect,defect
480,14,10,cooperate,cooperate
481,22,23,defect,defect
482,11,4,cooperate,defect
483,10,7,defect,defect
484,1,2,cooperate,cooperate
485,13,19,cooperate,cooperate
486,24,14,defect,defect
487,5,8,defect,cooperate
488,6,21,cooperate,cooperate
489,18,16,defect,defect
490,9,15,defect,defect
491,3,20,cooperate,cooperate
492,12,17,defect,cooperate
493,10,22,defect,defect
494,14,23,defect,defect
495,1,24,defect,defect
496,3,8,defect,cooperate
497,11,17,defect,cooperate
498,9,4,defect,defect
499,2,19,cooperate,cooperate
500,15,12,defect,defect
501,13,20,cooperate,cooperate
502,7,16,cooperate,cooperate
503,6,5,defect,defect
504,21,18,cooperate,defect
505,15,19,defect,cooperate
506,10,23,defect,defect
507,24,22,defect,cooperate
508,9,18,defect,cooperate
509,4,20,defect,cooperate
510,11,2,defect,cooperate
511,1,12,defect,defect
512,7,14,defect,cooperate
513,3,13,cooperate,cooperate
514,17,8,cooperate,defect
515,21,6,cooperate,cooperate
516,5,16,defect,defect
517,15,9,defect,defect
518,2,23,cooperate,defect
519,14,5,defect,defect
520,22,8,defect,cooperate
521,20,16,cooperate,defect
522,17,13,cooperate,cooperate
523,4,3,defect,defect
524,10,11,defect,defect
525,24,19,cooperate,defect
526,6,12,defect,defect
527,7,18,defect,defect
528,21,1,cooperate,cooperate
529,13,19,cooperate,cooperate
530,16,11,defect,defect
531,23,10,defect,cooperate
532,17,6,cooperate,cooperate
533,18,24,defect,defect
534,9,15,defect,defect
535,4,21,defect,defect
536,14,7,defect,cooperate
537,5,3,defect,defect
538,1,22,cooperate,cooperate
539,12,2,defect,cooperate
540,8,20,cooperate,cooperate
541,20,5,cooperate,defect
542,17,10,cooperate,cooperate
543,12,18,defect,defect
544,14,7,defect,defect
545,24,3,defect,defect
546,19,22,defect,defect
547,6,16,cooperate,defect
548,9,2,defect,cooperate
549,4,21,defect,defect
550,11,23,cooperate,defect
551,13,1,cooperate,cooperate
552,8,15,defect,defect
553,1,4,defect,defect
554,12,10,defect,defect
555,8,15,cooperate,defect
556,21,7,cooperate,cooperate
557,13,20,cooperate,cooperate
558,3,9,cooperate,defect
559,22,2,cooperate,cooperate
560,24,16,defect,defect
561,19,6,cooperate,cooperate
562,18,14,cooperate,cooperate
563,11,5,defect,defect
564,17,23,defect,defect
565,2,7,cooperate,defect
566,5,13,defect,defect
567,14,21,cooperate,cooperate
568,15,17,defect,defect
569,6,22,cooperate,cooperate
570,19,4,defect,defect
571,23,18,defect,defect
572,16,10,defect,cooperate
573,1,11,cooperate,defect
574,12,3,defect,defect
575,9,20,defect,cooperate
576,24,8,cooperate,defect
577,3,17,cooperate,cooperate
578,9,16,defect,defect
579,15,11,defect,cooperate
580,12,24,defect,defect
581,5,6,defect,defect
582,22,10,cooperate,cooperate
583,1,13,cooperate,cooperate
584,18,7,defect,defect
585,4,21,defect,defect
586,2,8,cooperate,cooperate
587,23,19,defect,defect
588,20,14,cooperate,cooperate
589,21,9,defect,defect
590,23,18,defect,defect
591,24,1,defect,defect
592,2,17,cooperate,cooperate
593,15,12,defect,defect
594,16,8,defect,defect
595,13,6,cooperate,cooperate
596,5,7,defect,defect
597,4,10,defect,defect
598,19,22,defect,defect
599,3,11,cooperate,cooperate
600,14,20,cooperate,cooperate
601,14,5,defect,defect
602,4,2,defect,cooperate
603,24,15,defect,defect
604,19,11,defect,cooperate
605,6,12,defect,defect
606,1,23,cooperate,defect
607,3,21,cooperate,cooperate
608,16,13,defect,defect
609,17,20,cooperate,cooperate
610,9,22,cooperate,defect
611,10,8,defect,cooperate
612,7,18,defect,defect
613,7,17,cooperate,cooperate
614,18,1,cooperate,cooperate
615,12,8,defect,defect
616,22,14,cooperate,cooperate
617,20,5,cooperate,defect
618,6,13,cooperate,cooperate
619,23,2,defect,cooperate
620,15,24,defect,defect
621,16,10,defect,defect
622,21,19,cooperate,cooperate
623,11,4,cooperate,defect
624,3,9,defect,defect
625,21,19,cooperate,cooperate
626,22,24,defect,cooperate
627,16,17,defect,defect
628,13,3,cooperate,cooperate
629,2,23,cooperate,defect
630,4,12,defect,defect
631,7,15,defect,defect
632,18,1,cooperate,cooperate
633,8,14,cooperate,defect
634,6,9,defect,defect
635,5,11,defect,defect
636,10,20,cooperate,cooperate
637,11,1,defect,defect
638,16,15,defect,defect
639,13,7,cooperate,cooperate
640,4,9,defect,defect
641,14,12,defect,defect
642,3,10,cooperate,cooperate
643,2,20,cooperate,cooperate
644,17,19,cooperate,cooperate
645,6,22,cooperate,cooperate
646,18,23,defect,defect
647,24,21,defect,cooperate
648,8,5,cooperate,defect
649,5,11,defect,defect
650,13,17,cooperate,cooperate
651,21,8,cooperate,cooperate
652,14,10,cooperate,defect
653,3,19,cooperate,cooperate
654,23,1,defect,defect
655,12,20,defect,cooperate
656,18,15,defect,defect
657,7,9,cooperate,defect
658,4,6,defect,cooperate
659,24,2,cooperate,cooperate
660,22,16,cooperate,defect
661,1,6,cooperate,cooperate
662,2,18,cooperate,cooperate
663,5,22,defect,defect
664,23,11,defect,defect
665,15,20,defect,cooperate
666,21,10,cooperate,cooperate
667,19,8,defect,cooperate
668,14,16,defect,defect
669,9,13,defect,defect
670,17,4,defect,defect
671,12,7,defect,defect
672,3,24,defect,defect
673,23,6,defect,defect
674,19,22,defect,defect
675,3,16,defect,defect
676,4,24,defect,defect
677,7,14,defect,cooperate
678,13,5,defect,defect
679,9,17,defect,defect
680,11,8,defect,cooperate
681,2,15,cooperate,defect
682,21,18,cooperate,defect
683,20,12,cooperate,defect
684,1,10,cooperate,cooperate
685,19,15,defect,defect
686,6,16,defect,defect
687,22,14,cooperate,cooperate
688,3,20,cooperate,cooperate
689,2,10,cooperate,cooperate
690,1,18,cooperate,cooperate
691,11,7,defect,defect
692,9,23,cooperate,defect
693,24,13,defect,defect
694,4,21,defect,defect
695,12,5,defect,defect
696,17,8,defect,cooperate
697,24,18,defect,defect
698,23,2,defect,cooperate
699,7,21,defect,cooperate
700,3,4,defect,defect
701,17,12,defect,defect
702,16,10,defect,defect
703,11,20,cooperate,cooperate
704,5,22,defect,defect
705,9,8,defect,cooperate
706,15,13,defect,defect
707,19,14,cooperate,cooperate
708,6,1,cooperate,cooperate
709,19,21,cooperate,cooperate
710,1,4,defect,defect
711,3,5,defect,defect
712,24,8,cooperate,defect
713,23,13,defect,cooperate
714,2,10,cooperate,cooperate
715,12,18,defect,defect
716,16,11,defect,defect
717,22,20,cooperate,cooperate
718,7,6,cooperate,cooperate
719,9,14,defect,cooperate
720,17,15,defect,defect
721,4,11,defect,defect
722,15,23,defect,defect
723,14,8,defect,defect
724,17,9,defect,defect
725,3,10,cooperate,defect
726,21,24,cooperate,defect
727,18,22,cooperate,cooperate
728,2,6,cooperate,cooperate
729,1,7,cooperate,defect
730,19,12,defect,defect
731,16,20,defect,cooperate
732,5,13,defect,defect
733,20,18,cooperate,defect
734,2,1,cooperate,cooperate
735,4,11,defect,cooperate
736,10,23,defect,defect
737,6,5,defect,defect
738,9,24,defect,defect
739,16,15,defect,defect
740,7,3,cooperate,cooperate
741,22,21,cooperate,cooperate
742,12,17,defect,defect
743,19,8,defect,defect
744,14,13,cooperate,cooperate
745,1,6,cooperate,cooperate
746,11,10,defect,cooperate
747,14,17,cooperate,cooperate
748,9,7,defect,defect
749,3,22,defect,cooperate
750,13,21,cooperate,cooperate
751,2,23,cooperate,defect
752,5,18,defect,defect
753,16,24,defect,defect
754,20,8,cooperate,cooperate
755,4,19,defect,defect
756,15,12,defect,defect
757,11,23,defect,defect
758,3,12,defect,defect
759,2,13,cooperate,cooperate
760,15,8,defect,defect
761,24,4,defect,defect
762,18,1,cooperate,cooperate
763,16,6,defect,defect
764,5,20,defect,cooperate
765,10,17,cooperate,cooperate
766,9,22,defect,cooperate
767,21,14,cooperate,cooperate
768,7,19,cooperate,cooperate
769,2,1,cooperate,cooperate
770,22,20,cooperate,cooperate
771,21,24,defect,defect
772,12,8,defect,defect
773,7,11,defect,defect
774,9,14,defect,defect
775,15,10,defect,defect
776,6,16,defect,defect
777,23,19,defect,defect
778,3,5,defect,defect
779,18,4,defect,defect
780,13,17,cooperate,cooperate
781,13,7,cooperate,cooperate
782,16,4,defect,defect
783,2,20,cooperate,cooperate
784,17,22,cooperate,cooperate
785,3,1,cooperate,cooperate
786,19,15,defect,defect
787,24,11,defect,defect
788,18,12,defect,defect
789,9,21,defect,defect
790,10,6,defect,cooperate
791,23,8,defect,cooperate
792,5,14,defect,defect
793,11,15,defect,defect
794,23,19,defect,defect
795,10,3,cooperate,defect
796,14,8,defect,cooperate
797,22,9,defect,defect
798,20,4,cooperate,defect
799,24,17,defect,defect
800,12,7,defect,defect
801,13,2,cooperate,cooperate
802,5,21,defect,cooperate
803,18,16,defect,defect
804,6,1,cooperate,cooperate
805,17,18,defect,defect
806,14,21,cooperate,cooperate
807,23,7,defect,defect
808,3,16,defect,defect
809,19,1,cooperate,cooperate
810,22,20,cooperate,cooperate
811,4,9,defect,defect
812,2,5,cooperate,defect
813,24,13,defect,defect
814,6,12,defect,defect
815,11,8,cooperate,cooperate
816,10,15,defect,defect
817,20,8,cooperate,defect
818,15,5,defect,defect
819,14,22,cooperate,cooperate
820,23,19,defect,defect
821,13,11,defect,defect
822,9,4,defect,defect
823,16,17,defect,defect
824,21,2,cooperate,cooperate
825,12,18,defect,defect
826,7,1,cooperate,defect
827,24,6,defect,defect
828,3,10,defect,defect
829,17,19,cooperate,cooperate
830,9,23,defect,defect
831,12,11,defect,defect
832,5,8,defect,defect
833,3,21,cooperate,cooperate
834,14,7,defect,cooperate
835,1,4,defect,defect
836,2,22,cooperate,cooperate
837,13,15,defect,defect
838,20,10,cooperate,cooperate
839,24,6,defect,defect
840,18,16,defect,defect
841,2,14,cooperate,cooperate
842,5,7,defect,defect
843,19,23,defect,defect
844,15,24,defect,defect
845,12,10,defect,defect
846,6,1,cooperate,cooperate
847,17,18,defect,defect
848,21,16,cooperate,defect
849,13,8,defect,cooperate
850,9,22,defect,defect
851,4,20,defect,cooperate
852,11,3,cooperate,cooperate
853,5,12,defect,defect
854,2,6,cooperate,cooperate
855,8,9,cooperate,defect
856,11,24,defect,cooperate
857,22,21,cooperate,cooperate
858,3,15,defect,defect
859,10,14,cooperate,cooperate
860,7,1,defect,cooperate
861,23,16,defect,defect
862,13,17,cooperate,cooperate
863,19,4,defect,defect
864,20,18,cooperate,defect
865,3,22,defect,defect
866,17,6,cooperate,cooperate
867,16,14,defect,defect
868,11,4,cooperate,defect
869,2,19,cooperate,cooperate
870,1,20,cooperate,cooperate
871,7,23,defect,defect
872,18,8,defect,defect
873,5,15,defect,defect
874,9,12,defect,defect
875,10,13,cooperate,cooperate
876,24,21,defect,defect
877,12,9,defect,defect
878,8,24,cooperate,defect
879,15,7,defect,defect
880,11,19,defect,defect
881,2,14,cooperate,cooperate
882,23,3,defect,defect
883,22,4,defect,defect
884,17,10,cooperate,cooperate
885,21,5,defect,defect
886,6,13,cooperate,cooperate
887,20,18,cooperate,cooperate
888,1,16,cooperate,defect
889,21,22,cooperate,cooperate
890,18,1,cooperate,cooperate
891,10,12,defect,defect
892,16,2,cooperate,cooperate
893,14,5,defect,defect
894,24,19,defect,defect
895,23,13,defect,defect
896,9,6,defect,defect
897,20,8,cooperate,cooperate
898,3,17,cooperate,cooperate
899,15,4,defect,defect
900,7,11,defect,cooperate
901,15,12,defect,defect
902,9,3,defect,defect
903,18,1,cooperate,cooperate
904,21,10,cooperate,cooperate
905,7,11,defect,defect
906,8,22,defect,cooperate
907,16,5,defect,defect
908,17,4,defect,defect
909,13,19,cooperate,cooperate
910,6,20,cooperate,cooperate
911,14,23,defect,defect
912,2,24,cooperate,cooperate
913,22,8,cooperate,cooperate
914,20,24,cooperate,defect
915,21,11,cooperate,defect
916,7,13,cooperate,cooperate
917,23,15,defect,defect
918,17,5,defect,defect
919,12,1,defect,cooperate
920,10,3,defect,defect
921,6,4,defect,defect
922,9,2,defect,cooperate
923,18,14,cooperate,cooperate
924,19,16,defect,cooperate
925,4,17,defect,defect
926,3,13,cooperate,cooperate
927,12,16,defect,defect
928,23,7,defect,defect
929,8,24,defect,cooperate
930,5,21,defect,defect
931,1,19,cooperate,cooperate
932,18,10,defect,cooperate
933,14,20,cooperate,cooperate
934,9,11,defect,defect
935,2,15,cooperate,defect
936,6,22,cooperate,cooperate
937,17,2,cooperate,cooperate
938,24,11,defect,defect
939,5,21,defect,defect
940,10,18,defect,cooperate
941,23,15,defect,defect
942,16,6,defect,defect
943,3,13,cooperate,cooperate
944,20,9,cooperate,defect
945,12,14,defect,defect
946,8,19,defect,defect
947,22,4,defect,defect
948,1,7,defect,cooperate
949,15,12,defect,defect
950,11,18,defect,defect
951,5,20,defect,cooperate
952,3,14,cooperate,cooperate
953,10,8,defect,defect
954,9,16,defect,defect
955,4,13,defect,defect
956,6,22,cooperate,cooperate
957,1,2,cooperate,cooperate
958,24,19,defect,defect
959,23,17,defect,defect
960,21,7,cooperate,defect
961,12,2,defect,cooperate
962,3,19,cooperate,cooperate
963,17,1,cooperate,cooperate
964,20,6,cooperate,cooperate
965,16,24,defect,defect
966,5,10,defect,defect
967,18,13,cooperate,cooperate
968,9,15,defect,defect
969,14,21,cooperate,cooperate
970,8,23,defect,defect
971,4,22,defect,defect
972,7,11,defect,defect
973,22,11,defect,defect
974,8,21,defect,cooperate
975,23,18,defect,defect
976,5,4,defect,defect
977,7,16,cooperate,defect
978,15,14,defect,defect
979,2,9,cooperate,defect
980,19,12,defect,defect
981,6,13,cooperate,cooperate
982,1,10,cooperate,cooperate
983,24,20,defect,cooperate
984,17,3,cooperate,cooperate
985,7,3,cooperate,cooperate
986,22,10,cooperate,defect
987,17,14,cooperate,cooperate
988,2,9,cooperate,defect
989,16,1,defect,cooperate
990,12,6,defect,defect
991,20,18,cooperate,defect
992,21,4,defect,defect
993,23,13,defect,defect
994,5,11,defect,defect
995,19,15,defect,defect
996,8,24,cooperate,defect
997,4,8,defect,defect
998,24,22,cooperate,defect
999,11,14,cooperate,cooperate
1000,6,10,defect,defect
1001,18,15,defect,defect
1002,21,20,cooperate,cooperate
1003,17,2,cooperate,cooperate
1004,12,13,defect,defect
1005,5,23,defect,defect
1006,9,3,defect,defect
1007,1,16,defect,defect
